HomeTeam,AwayTeam,FTR,HomeGoals,AwayGoals,StandingDiff,HomeWins,AwayWins,AvgHomeGoals,AvgAwayGoals,AvgHomeShots,AvgAwayShots,AvgHomeShotsOnTarget,AvgAwayShotsOnTarget,AvgHomeCorners,AvgAwayCorners,AvgHomeGoalsConceded,AvgAwayGoalsConceded,AvgHomeShotsConceded,AvgAwayShotsConceded,Year,Day
17,23,2,1,0,-12,20.0,40.0,1.0,1.6,17.6,13.6,9.6,8.4,8.8,5.8,0.8,2.6,9.8,17.2,2011,10
19,35,2,4,1,-16,60.0,0.0,1.6,0.6,15.8,8.8,9.2,4.2,7.6,4.0,1.6,2.4,13.8,15.8,2011,10
22,21,2,4,2,6,60.0,40.0,2.2,1.6,12.2,11.0,6.8,6.8,4.8,4.8,1.6,1.4,13.8,16.0,2011,10
29,12,2,2,0,10,60.0,20.0,1.6,0.6,10.2,10.4,6.0,6.0,5.6,2.8,0.4,0.6,10.8,14.6,2011,10
32,34,0,1,2,-5,40.0,20.0,1.0,0.8,12.0,11.0,7.2,5.8,2.8,6.0,1.2,2.0,15.8,15.2,2011,10
27,30,2,2,1,8,40.0,80.0,1.8,2.4,12.6,13.0,6.0,8.8,6.4,5.4,1.6,1.2,9.6,14.2,2011,11
28,2,2,2,1,-5,20.0,0.0,1.8,1.8,12.6,9.6,8.2,6.2,5.4,4.0,1.2,2.6,9.2,14.6,2011,11
9,18,2,2,1,-1,60.0,60.0,2.8,3.2,13.8,15.8,7.6,9.2,4.2,4.8,1.8,1.2,8.6,13.2,2011,12
2,32,0,1,2,4,40.0,20.0,1.8,1.0,12.2,10.4,6.8,6.0,4.4,5.2,2.4,2.0,14.8,9.6,2011,17
11,22,1,1,1,-11,40.0,20.0,1.0,1.2,14.2,10.0,7.6,6.0,6.4,5.0,1.2,2.4,8.4,16.4,2011,17
12,3,2,2,0,-6,40.0,20.0,2.2,1.0,18.6,9.2,13.0,6.4,5.6,3.8,1.6,2.4,14.2,19.4,2011,17
21,29,1,0,0,-6,60.0,0.0,1.6,1.2,14.0,10.4,8.0,6.0,5.4,6.2,1.4,2.6,12.4,16.4,2011,17
34,9,1,1,1,14,0.0,60.0,1.0,2.0,12.8,17.6,7.4,10.2,5.2,6.8,2.8,1.0,11.4,12.6,2011,17
35,27,0,1,2,4,40.0,20.0,1.6,0.4,17.2,8.2,10.6,4.6,7.0,4.2,1.8,2.8,14.8,11.4,2011,17
1,17,0,0,2,3,40.0,60.0,1.4,1.2,9.6,12.6,4.2,6.0,4.6,7.0,1.2,1.2,12.6,16.6,2011,18
