HomeTeam,AwayTeam,HomeGoals,AwayGoals,StandingDiff,HomeWins,AwayWins,AvgHomeGoals,AvgAwayGoals,AvgHomeShots,AvgAwayShots,AvgHomeShotsOnTarget,AvgAwayShotsOnTarget,AvgHomeCorners,AvgAwayCorners,AvgHomeGoalsConceded,AvgAwayGoalsConceded,AvgHomeShotsConceded,AvgAwayShotsConceded,Year,Day,FTR
6,17,1,5,14,20.0,60.0,1.0,2.4,9.0,16.2,3.0,5.8,5.4,5.6,0.8,1.6,11.8,10.0,2017,2,0
9,21,3,1,-17,60.0,0.0,1.2,1.0,14.0,14.8,6.4,4.8,6.8,5.8,0.6,2.0,11.2,11.0,2017,2,2
11,13,2,0,-11,60.0,0.0,2.2,0.0,12.2,8.8,4.2,1.8,3.4,4.4,1.8,2.8,12.2,12.0,2017,2,2
16,7,1,0,-4,40.0,60.0,1.4,1.0,8.2,6.2,3.4,2.2,3.0,3.4,1.4,1.0,14.8,19.2,2017,2,2
27,29,2,1,-2,20.0,0.0,1.0,0.2,12.2,5.8,3.6,0.8,5.4,2.2,2.4,1.2,12.6,17.8,2017,2,2
31,30,1,1,15,40.0,40.0,1.2,1.6,12.0,14.8,2.6,5.2,4.2,5.2,2.4,1.4,13.6,9.6,2017,2,1
32,10,0,0,-4,0.0,0.0,1.2,0.0,7.2,8.4,3.0,1.6,2.8,5.2,2.2,2.2,12.8,14.4,2017,2,1
4,26,1,1,1,40.0,20.0,1.4,0.8,12.4,10.4,3.0,2.0,6.0,5.0,0.8,1.6,13.0,17.0,2017,3,1
18,33,2,1,-8,100.0,0.0,4.0,0.6,19.0,8.0,9.4,3.6,5.6,3.2,0.8,1.8,5.8,14.0,2017,3,2
7,31,1,0,-1,40.0,40.0,0.8,2.2,12.2,12.4,4.4,3.8,5.6,4.8,0.4,2.0,11.8,11.0,2017,9,2
10,4,2,2,5,40.0,40.0,1.6,0.8,14.6,9.0,5.8,3.8,7.0,5.6,1.4,0.8,10.2,13.2,2017,9,1
13,6,2,0,0,40.0,40.0,1.0,1.0,7.4,7.6,2.0,2.4,4.4,3.8,1.6,1.0,11.2,16.6,2017,9,2
21,16,2,3,6,40.0,20.0,0.8,1.2,11.4,10.0,3.4,2.8,5.6,6.0,1.2,1.0,13.6,14.4,2017,9,0
29,32,1,0,5,20.0,0.0,0.8,0.4,11.6,6.6,2.6,2.2,5.8,2.6,1.0,1.2,8.0,15.6,2017,9,2
30,27,5,1,-11,60.0,20.0,1.4,1.4,18.8,9.2,5.4,3.2,8.2,3.0,0.4,2.6,7.4,13.2,2017,9,2
33,9,1,0,10,20.0,60.0,1.0,2.2,9.8,12.4,3.0,4.8,4.6,5.0,2.2,0.6,10.0,11.4,2017,9,2
17,11,1,1,-3,40.0,0.0,1.6,0.8,21.4,9.8,6.8,3.6,9.0,3.6,0.4,2.6,5.6,14.0,2017,10,1
19,18,1,2,3,100.0,100.0,2.8,2.8,15.2,17.2,5.6,6.0,6.4,7.0,0.2,0.6,9.2,4.6,2017,10,0
26,0,1,1,3,40.0,40.0,1.4,1.6,15.2,14.6,4.0,5.4,7.0,4.6,1.0,1.4,9.0,9.8,2017,10,1
7,27,1,0,3,60.0,20.0,1.0,1.4,12.8,7.4,4.8,3.0,5.6,3.2,0.4,3.2,12.2,14.4,2017,12,2
10,31,2,1,-3,40.0,20.0,2.0,1.8,16.6,13.0,6.8,3.4,7.2,5.0,1.6,2.0,9.8,10.6,2017,12,2
13,9,1,3,17,60.0,40.0,1.2,1.4,8.2,14.8,2.6,4.4,4.4,5.6,1.4,0.8,10.6,9.8,2017,12,0
17,32,0,0,-6,40.0,0.0,1.6,0.4,19.0,6.6,5.6,1.8,9.0,2.4,0.4,1.0,5.2,16.0,2017,13,1
19,4,1,0,-3,80.0,40.0,2.2,1.0,13.6,9.6,5.2,4.0,6.0,5.0,0.6,0.8,10.6,15.6,2017,13,2
21,11,0,1,11,20.0,0.0,0.8,1.0,10.6,9.0,3.6,3.4,5.4,3.6,1.6,2.0,13.6,15.4,2017,13,0
26,16,1,4,-4,40.0,40.0,1.6,1.6,13.6,10.6,3.8,3.6,6.2,6.2,1.0,1.2,9.4,13.4,2017,13,0
29,18,0,4,12,40.0,100.0,0.8,2.0,13.2,14.4,2.6,5.4,6.0,6.4,0.6,0.8,7.8,4.8,2017,13,0
30,6,2,0,-16,80.0,40.0,2.4,0.8,17.6,7.2,6.0,2.4,8.4,3.2,0.6,1.0,7.4,17.4,2017,13,2
33,0,0,0,6,40.0,40.0,0.8,1.8,8.8,14.6,2.6,6.2,4.6,5.4,1.6,1.6,10.8,8.4,2017,13,1
