Season,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
2016-17,5,Chelsea,38,21,15,2,59,39,20,78,Qualification for the Europa League
2016-17,6,Man United,38,16,18,4,55,41,14,66,Not Applicable
2016-17,7,Everton,38,13,16,9,51,47,4,55,Not Applicable
2016-17,8,Leicester,38,15,10,13,53,51,2,55,Not Applicable
2016-17,9,Southampton,38,11,17,10,49,48,1,50,Not Applicable
2016-17,10,West Brom,38,12,11,15,50,53,-3,47,Not Applicable
2016-17,11,West Ham,38,11,12,15,50,54,-4,45,Not Applicable
2016-17,12,Crystal Palace,38,7,17,14,44,51,-7,38,Not Applicable
2016-17,13,Middlesbrough,38,6,16,16,45,55,-10,34,Not Applicable
2016-17,14,Swansea,38,7,12,19,45,59,-14,33,Not Applicable
2016-17,15,Stoke,38,6,14,18,43,58,-15,32,Not Applicable
2016-17,16,Burnley,38,6,13,19,44,57,-13,31,Not Applicable
2016-17,17,Watford,38,5,16,17,42,56,-14,31,Not Applicable
2016-17,18,Bournemouth,38,7,10,21,44,60,-16,31,Relegation
2016-17,19,Sunderland,38,3,13,22,41,63,-22,22,Relegation
2016-17,20,Hull,38,1,16,21,40,62,-22,19,Relegation
2017-18,1,Man City,38,34,4,0,88,35,53,106,Champions
2017-18,2,Tottenham,38,32,3,3,78,35,43,99,Qualification for the Champions League
2017-18,3,Liverpool,38,28,8,2,72,40,32,92,Qualification for the Champions League
2017-18,4,Man United,38,27,7,4,67,38,29,88,Qualification for the Champions League
2017-18,5,Chelsea,38,26,7,5,70,34,36,85,Qualification for the Europa League
2017-18,6,Arsenal,38,23,11,4,62,41,21,80,Not Applicable
2017-18,7,Leicester,38,9,15,14,45,52,-7,42,Not Applicable
2017-18,8,Southampton,38,8,17,13,47,54,-7,41,Not Applicable
2017-18,9,Everton,38,6,22,10,44,49,-5,40,Not Applicable
2017-18,10,Burnley,38,6,22,10,43,50,-7,40,Not Applicable
2017-18,11,Newcastle,38,7,15,16,45,56,-11,36,Not Applicable
2017-18,12,West Brom,38,6,18,14,41,53,-12,36,Not Applicable
2017-18,13,Brighton,38,7,15,16,43,56,-13,36,Not Applicable
2017-18,14,Bournemouth,38,8,12,18,44,59,-15,36,Not Applicable
2017-18,15,Watford,38,6,12,20,42,62,-20,30,Not Applicable
2017-18,16,Crystal Palace,38,3,18,17,37,57,-20,27,Not Applicable
2017-18,17,West Ham,38,5,12,21,40,61,-21,27,Not Applicable
2017-18,18,Huddersfield,38,5,12,21,39,60,-21,27,Relegation
2017-18,19,Stoke,38,3,13,22,40,67,-27,22,Relegation
2017-18,20,Swansea,38,2,15,21,39,67,-28,21,Relegation
2018-19,1,Man City,38,36,2,0,88,30,58,110,Champions
2018-19,2,Liverpool,38,32,5,1,81,36,45,101,Qualification for the Champions League
2018-19,3,Tottenham,38,27,8,3,67,38,29,89,Qualification for the Champions League
2018-19,4,Man United,38,26,7,5,64,38,26,85,Qualification for the Champions League
2018-19,5,Chelsea,38,21,13,4,63,42,21,76,Qualification for the Europa League
2018-19,6,Arsenal,38,19,13,6,57,43,14,70,Not Applicable
2018-19,7,Everton,38,11,15,12,49,53,-4,48,Not Applicable
2018-19,8,Leicester,38,10,16,12,47,51,-4,46,Not Applicable
2018-19,9,West Ham,38,11,11,16,47,55,-8,44,Not Applicable
2018-19,10,Crystal Palace,38,9,15,14,49,57,-8,42,Not Applicable
2018-19,11,Watford,38,8,15,15,46,55,-9,39,Not Applicable
2018-19,12,Wolves,38,9,12,17,45,56,-11,39,Not Applicable
2018-19,13,Burnley,38,7,16,15,44,55,-11,37,Not Applicable
2018-19,14,Newcastle,38,4,23,11,43,51,-8,35,Not Applicable
2018-19,15,Bournemouth,38,8,11,19,47,61,-14,35,Not Applicable
2018-19,16,Cardiff,38,6,11,21,44,64,-20,29,Not Applicable
2018-19,17,Southampton,38,7,8,23,44,65,-21,29,Not Applicable
2018-19,18,Brighton,38,3,18,17,40,57,-17,27,Relegation
2018-19,19,Fulham,38,6,7,25,42,67,-25,25,Relegation
2018-19,20,Huddersfield,38,2,10,26,36,69,-33,16,Relegation
2019-20,1,Man City,38,33,5,0,87,32,55,104,Champions
2019-20,2,Liverpool,38,30,7,1,76,36,40,97,Qualification for the Champions League
2019-20,3,Leicester,38,20,13,5,58,42,16,73,Qualification for the Champions League
2019-20,4,Chelsea,38,20,12,6,58,42,16,72,Qualification for the Champions League
2019-20,5,Man United,38,18,17,3,58,41,17,71,Qualification for the Europa League
2019-20,6,Tottenham,38,18,16,4,56,40,16,70,Not Applicable
2019-20,7,Arsenal,38,16,18,4,54,41,13,66,Not Applicable
2019-20,8,Wolves,38,13,14,11,51,49,2,53,Not Applicable
2019-20,9,Sheffield United,38,11,13,14,48,52,-4,46,Not Applicable
2019-20,10,Everton,38,10,16,12,47,52,-5,46,Not Applicable
2019-20,11,Crystal Palace,38,4,22,12,38,51,-13,34,Not Applicable
2019-20,12,Southampton,38,7,13,18,43,59,-16,34,Not Applicable
2019-20,13,West Ham,38,5,18,15,42,54,-12,33,Not Applicable
2019-20,14,Newcastle,38,5,18,15,42,55,-13,33,Not Applicable
2019-20,15,Aston Villa,38,9,5,24,47,65,-18,32,Not Applicable
2019-20,16,Burnley,38,5,16,17,41,57,-16,31,Not Applicable
2019-20,17,Bournemouth,38,4,17,17,40,57,-17,29,Not Applicable
2019-20,18,Watford,38,2,21,15,38,54,-16,27,Relegation
2019-20,19,Brighton,38,5,10,23,41,62,-21,25,Relegation
2019-20,20,Norwich,38,3,13,22,40,64,-24,22,Relegation
2020-21,1,Man City,38,33,5,0,77,32,45,104,Champions
2020-21,2,Liverpool,38,29,7,2,74,38,36,94,Qualification for the Champions League
2020-21,3,Man United,38,28,7,3,67,40,27,91,Qualification for the Champions League
2020-21,4,Leicester,38,17,19,2,56,40,16,70,Qualification for the Champions League
2020-21,5,Tottenham,38,17,16,5,55,43,12,67,Qualification for the Europa League
2020-21,6,Chelsea,38,15,17,6,53,43,10,62,Not Applicable
2020-21,7,Arsenal,38,13,19,6,51,44,7,58,Not Applicable
2020-21,8,Everton,38,13,12,13,53,53,0,51,Not Applicable
2020-21,9,West Ham,38,12,15,11,50,52,-2,51,Not Applicable
2020-21,10,Aston Villa,38,8,18,12,47,51,-4,42,Not Applicable
2020-21,11,Brighton,38,9,13,16,48,55,-7,40,Not Applicable
2020-21,12,Wolves,38,6,21,11,43,49,-6,39,Not Applicable
2020-21,13,Leeds,38,10,7,21,47,60,-13,37,Not Applicable
2020-21,14,Burnley,38,5,21,12,41,52,-11,36,Not Applicable
2020-21,15,Southampton,38,6,16,16,43,54,-11,34,Not Applicable
2020-21,16,Fulham,38,5,13,20,44,60,-16,28,Not Applicable
2020-21,17,Crystal Palace,38,5,12,21,41,59,-18,27,Not Applicable
2020-21,18,Sheffield United,38,4,15,19,40,58,-18,27,Relegation
2020-21,19,Newcastle,38,5,11,22,39,61,-22,26,Relegation
2020-21,20,West Brom,38,3,10,25,43,68,-25,19,Relegation
2021-22,1,Man City,38,11,27,0,25,7,18,60,Champions
2021-22,2,Man United,38,8,30,0,14,6,8,54,Qualification for the Champions League
2021-22,3,Liverpool,38,6,32,0,14,7,7,50,Qualification for the Champions League
2021-22,4,Chelsea,38,6,31,1,14,8,6,49,Qualification for the Champions League
2021-22,5,Leicester,38,5,31,2,10,7,3,46,Qualification for the Europa League
2021-22,6,Everton,38,5,30,3,12,10,2,45,Not Applicable
2021-22,7,Aston Villa,38,4,32,2,13,11,2,44,Not Applicable
2021-22,8,Arsenal,38,4,31,3,10,10,0,43,Not Applicable
2021-22,9,Tottenham,38,2,36,0,10,8,2,42,Not Applicable
2021-22,10,West Ham,38,3,33,2,13,12,1,42,Not Applicable
2021-22,11,Brighton,38,5,27,6,11,13,-2,42,Not Applicable
2021-22,12,Brentford,38,2,33,3,10,11,-1,39,Not Applicable
2021-22,13,Watford,38,3,28,7,10,14,-4,37,Not Applicable
2021-22,14,Burnley,38,2,31,5,10,15,-5,37,Not Applicable
2021-22,15,Leeds,38,1,33,4,10,13,-3,36,Not Applicable
2021-22,16,Newcastle,38,3,27,8,13,18,-5,36,Not Applicable
2021-22,17,Norwich City,38,2,29,7,10,17,-7,35,Not Applicable
2021-22,18,Wolves,38,1,30,7,10,16,-6,33,Relegation
2021-22,19,Southampton,38,1,30,7,9,17,-8,33,Relegation
2021-22,20,Crystal Palace,38,1,29,8,8,16,-8,32,Relegation
